,id,class,tags,name_ru,operator,tags_ru,opening_hours,class_ru,addr_region,addr_district,addr_city,addr_full_name,index_name,addr_region_id,addr_district_id,addr_city_id,addr_house_id,addr_in_id,addr_in_type,brand,phone,fax,website,addr_village,addr_street,addr_house,c_geom,addr_country,email,description,wikipedia,osm_id,lat,lon,nclass
615,194076193,substation,{},,,"{'Напряжения': None, 'Газовая изоляция': 'неизвестно'}",,Подстанция,Московская область,,,"Российская Федерация, Московская область","Подстанция ,  , Московская область, Российская Федерация, ",787547503,,,,787547503,10,,,,,,,,0101000020E6100000BC5E9A22C0B9424016F549EE30F24B40,Российская Федерация,,Трансформаторная подстанция,,w859183634,55.89211825,37.451176,substation
616,194075614,substation,{},,,"{'Напряжения': None, 'Газовая изоляция': 'неизвестно'}",,Подстанция,Москва,,,"Российская Федерация, Москва","Подстанция ,  , Москва, Российская Федерация, ",787547493,,,,787547493,10,,,,,,,,0101000020E610000008775977C6C14240D83F9E0416D94B40,Российская Федерация,,,,w857650674,55.6959844372465,37.5138692080346,substation
617,194072589,substation,{},,,"{'Напряжения': None, 'Газовая изоляция': 'неизвестно'}",,Подстанция,Московская область,,,"Российская Федерация, Московская область","Подстанция ,  , Московская область, Российская Федерация, ",787547503,,,,787547503,10,,,,,,,,0101000020E6100000B3839BC416BD424051F4B4FDE9F24B40,Российская Федерация,,,,w840594073,55.8977658399168,37.4772573241566,substation
618,194073382,substation,{},Ломоносово,,"{'Напряжения': '110000;10000', 'Газовая изоляция': 'неизвестно'}",,Подстанция,Москва,,,"Российская Федерация, Москва","Подстанция , Ломоносово , Москва, Российская Федерация, ",787547493,,,,787547493,10,,,,,,,,0101000020E610000083AC5D2674BE4240026AD77241D94B40,Российская Федерация,,,,w845448328,55.6973098327471,37.4879196126358,substation
619,194071063,substation,{},,,"{'Напряжения': None, 'Газовая изоляция': 'неизвестно'}",,Подстанция,Москва,,,"Российская Федерация, Москва","Подстанция ,  , Москва, Российская Федерация, ",787547493,,,,787547493,10,,,,,,,,0101000020E6100000C3CE5EC7C9C1424080EC9A359DD84B40,Российская Федерация,,,,w829454336,55.69229765,37.5139703,substation
620,194071065,substation,{},,,"{'Напряжения': None, 'Газовая изоляция': 'неизвестно'}",,Подстанция,Москва,,,"Российская Федерация, Москва","Подстанция ,  , Москва, Российская Федерация, ",787547493,,,,787547493,10,,,,,,,,0101000020E610000063A856773AC24240778B8A5A4FD84B40,Российская Федерация,,,,w829454337,55.6899216820229,37.5174092457899,substation
621,194078166,substation,{},,,"{'Напряжения': None, 'Газовая изоляция': 'неизвестно'}",,Подстанция,Москва,,,"Российская Федерация, Москва","Подстанция ,  , Москва, Российская Федерация, ",787547493,,,,787547493,10,,,,,,,,0101000020E610000035E58D454FBE424009C225651AD84B40,Российская Федерация,,,,w867531606,55.6883055147519,37.486794180188,substation
622,194076000,substation,{},,,"{'Напряжения': None, 'Газовая изоляция': 'неизвестно'}",,Подстанция,Москва,,,"Российская Федерация, Москва","Подстанция ,  , Москва, Российская Федерация, ",787547493,,,,787547493,10,,,,,,,,0101000020E61000004750702C2EC14240BD69507108D94B40,Российская Федерация,,,,w857898171,55.69557014872,37.5092216061026,substation
623,194074257,substation,{},,,"{'Напряжения': '110000', 'Газовая изоляция': 'неизвестно'}",,Подстанция,Москва,,,"Российская Федерация, Москва","Подстанция ,  , Москва, Российская Федерация, ",787547493,,,,787547493,10,,,,,,,,0101000020E61000006584FA8C38D7424075C47989E4DA4B40,Российская Федерация,,,,w849363552,55.7100993961875,37.6814132903317,substation
624,194075964,substation,{},Лобаново,,"{'Напряжения': '110000;6000', 'Газовая изоляция': 'неизвестно'}",,Подстанция,Московская область,,,"Российская Федерация, Московская область","Подстанция , Лобаново , Московская область, Российская Федерация, ",787547503,,,,787547503,10,,,,,,,,0101000020E6100000990908FACAB8424023E9188318F44B40,Российская Федерация,,,,w857679169,55.9069980498919,37.4436943568464,substation
